"SN","First Name","Last Name","Username","Email","Registered On","User Type","Status"
"302","Sunil","","","","April 12, 2022","Free","Deleted"
"303","Wolowolo2","","wolowolo2","wolowolo2@yopmail.com","April 12, 2022","Free","Deleted"
"304","Wolowolo1","","wolowolo1","wolowolo1@yopmail.com","April 12, 2022","Free","Deleted"
"305","Wolo","wolo","wolowolo","wolowolo@yopmail.com","April 12, 2022","Free","Deleted"
"306","Test","wolo","testwolo4","testwolo4@yopmail.com","April 12, 2022","Free","Verified"
"307","Howard","Wolowitz","howard","aditi+3@gurzu.com","April 11, 2022","Free","Verified"
"308","Aditi","Acharya","aditi164987","aditi+17694300@gurzu.com","April 11, 2022","Free","Verified"
"309","Aditi","Acharya","aditi16487","aditi+1764300@gurzu.com","April 11, 2022","Free","Verified"
"310","Aditi","Acharya","aditi1648","aditi+176400@gurzu.com","April 11, 2022","Free","Verified"
"311","Aditi","Acharya","aditi168","aditi+17600@gurzu.com","April 11, 2022","Free","Suspended"
"312","Aditi","Acharya","aditi167","aditi+1600@gurzu.com","April 11, 2022","Free","Verified"
"313","Test","","test23","test2@yopmail.com","April 8, 2022","Free","Verified"
"314","Aditi","Acharya","aditi17987","aditi+17798@gurzu.com","April 8, 2022","Free","Verified"
"315","Aditi","Acharya","aditi1787","aditi+1778@gurzu.com","April 8, 2022","Free","Verified"
"316","Aditi","Acharya","aditi177","aditi+177@gurzu.com","April 8, 2022","Free","Verified"
"317","miami","","miami","aditi+23@gurzu.com","April 7, 2022","Free","Unverified"
"318","Howard","","Howard","aditi+24@gurzu.com","April 7, 2022","Free","Unverified"
"319","Rajesh","","","","April 7, 2022","Free","Deleted"
"320","Penny","Hoffstador","","","April 7, 2022","Free","Deleted"
"321","Sunil","","testtest","testtest1@yopmail.com","April 6, 2022","Free","Unverified"
"322","Aditi","Acharya","jasmeen","aditi+10@gurzu.com","April 5, 2022","Free","Unverified"
"323","Aditi","Acharya","karun","aditi+17@gurzu.com","April 5, 2022","Free","Unverified"
"324","Aditi","Acharya","Karun","aditi+16@gurzu.com","April 5, 2022","Free","Unverified"
"325","Aditi","Acharya","pheldon","Aditi+16@gurzu.com","April 5, 2022","Free","Unverified"
"326","Shreejala","Tuladhar","","","April 4, 2022","Free","Deleted"
"327","Test","","tester","test@g.com","April 4, 2022","Free","Unverified"
"328","Test","","","","April 4, 2022","Free","Deleted"
"329","Sunil","Shrestha","suniltest","testtest@yopmail.com","April 4, 2022","Free","Verified"
"330","Leonard","Hoffstader","leonard","49f5ad0e-1b62-481f-a51b-cff223f80130_bb69f5b3-d60f-44cb-bbf1-5aef5613ea2d_aditi+2@gurzu.com","April 4, 2022","Free","Suspended"
"331","Sheldon","Cooper","sheldon","aditi+1@gurzu.com","April 4, 2022","Free","Verified"
"332","Xinex","","Xinex","xinex25998@nuesond.com","April 3, 2022","Free","Verified"
"333","sunil","shrestha","aeb9ae55-51bd-4025-b08f-a88b3dce5e4c_sunilstha82","aeb9ae55-51bd-4025-b08f-a88b3dce5e4c_sunil.stha86@gmail.com","April 1, 2022","Free","Verified"
"334","Milan","Amatya","","","April 1, 2022","Free","Deleted"
"335","Aman","Maharjan","i8e4","aman.wolo@yopmail.com","April 1, 2022","Free","Verified"
"336","Merisha","Maharjan","merisha","merisha@yopmail.com","March 31, 2022","Free","Deleted"
"337","Amy","","aditi12","aditi+12@gurzu.com","March 31, 2022","Free","Verified"
"338","Arya","Johns","arya","Arya.johns@yopmail.com","March 31, 2022","Free","Verified"
"339","Alina","","","","March 30, 2022","Free","Deleted"
"340","Rabina","Testing","rabina","rabina@yopmail.com","March 30, 2022","Free","Verified"
"341","Karun","","Karun Gurzu Test","karun+test@gurzu.com","March 30, 2022","Free","Verified"
"342","Jasmeen","Shrestha","","","March 30, 2022","Free","Deleted"
"343","Shreza3","","shreza3","shreza3@yopmail.com","March 30, 2022","Free","Deleted"
"344","Shreza","Test","cj1997","shreza2@yopmail.com","March 30, 2022","Free","Verified"
"345","Wolo","Test","sunil.66","wolotest3@yopmail.com","March 30, 2022","Free","Verified"
"346","Test2","User","test2","shreza+1@yopmail.com","March 30, 2022","Free","Verified"
"347","Aditi","","aditi01","aditi@gurzu.com","March 30, 2022","Free","Verified"
"348","Shrez","Test","shrez","shreza@yopmail.com","March 30, 2022","Free","Deleted"
"349","Wolo","Two2","wolotest2","wolotest2@yopmail.com","March 30, 2022","Free","Verified"
"350","Wolotest1","","wolotest1","wolotest1@yopmail.com","March 30, 2022","Free","Suspended"
